ensembl_gene_id,baseMean,log2FoldChange,lfcSE,pvalue,padj,external_gene_name,gene_biotype
ENSMUSG00000022454,285.49275113624543,-0.48966532091566783,0.7685394900340582,0.0062264299890661245,0.09991889043109556,Nell2,protein_coding
ENSMUSG00000021185,246.6742144399363,-0.08730730481580737,0.207361117608386,0.0062570174722230455,0.10032750865780736,Dglucy,protein_coding
ENSMUSG00000026102,551.5715968767144,-0.0541016332041904,0.14438787758373453,0.00627632461481741,0.10052176268803985,Inpp1,protein_coding
ENSMUSG00000069823,250.9837732944538,-0.29678285131019866,0.5242526826305486,0.006279401152695512,0.10052176268803985,Olfr1,protein_coding
ENSMUSG00000039997,13.760739728456253,-0.8243465120165251,1.1676982677814645,0.006290021706169959,0.10060951385898322,Ifi203,protein_coding
ENSMUSG00000024270,1276.110911681756,-0.09855432981831364,0.22784566839952808,0.0063291011770640745,0.10115195334249834,Slc39a6,protein_coding
ENSMUSG00000100689,76.6156874942275,0.6236381853471566,0.9336732384198926,0.006343633766883553,0.10130151866887945,Taar7e,protein_coding
ENSMUSG00000061342,133.78633547482104,0.7134140071706431,1.0406696894700436,0.00636229524544059,0.10143405237397059,Olfr1168,protein_coding
ENSMUSG00000047534,48.81601490911411,0.24611215096092431,0.45607381021466104,0.006362164104847146,0.10143405237397059,Mis18bp1,protein_coding
ENSMUSG00000026639,27.430170682849955,0.5426129514898844,0.8391798265310733,0.006410545775643802,0.10206098076378788,Lamb3,protein_coding
ENSMUSG00000116125,12.584120238617093,-0.6722456638313581,0.9942623561563046,0.006412044454972882,0.10206098076378788,Gm41361,lncRNA
ENSMUSG00000039095,116.19718232436632,0.15747629128838533,0.3264382560430932,0.00647476328205868,0.10297556095543853,En2,protein_coding
ENSMUSG00000034312,1355.29239108987,0.1087989257622137,0.24697378298648645,0.006489059164744794,0.10303552337986503,Iqsec1,protein_coding
ENSMUSG00000095377,84.56020008048264,0.2801102348902683,0.5057986682022464,0.006485708970798054,0.10303552337986503,Olfr91,protein_coding
ENSMUSG00000040086,27.375073484943428,0.6078348914630798,0.9215329757754036,0.00650999628979887,0.10320057276249578,Tnni3k,protein_coding
ENSMUSG00000086278,253.61461866297608,-0.7955818667053376,1.145363416408016,0.006506615723562971,0.10320057276249578,Olfr75-ps1,transcribed_unprocessed_pseudogene
ENSMUSG00000030029,1033.5598549675792,0.12259062263306163,0.27055589149157105,0.006517351395139559,0.10323358059388535,Lrig1,protein_coding
ENSMUSG00000115333,38.39207394577005,0.26276643464879734,0.48249768647238883,0.006526107563957512,0.10328870969050943,Gm34590,lncRNA
ENSMUSG00000041771,2635.1961346325234,0.08028414223518443,0.19696195925550983,0.006582326913915908,0.10409434274688663,Slc24a4,protein_coding
ENSMUSG00000057890,14.291952811979558,1.1759806688044332,1.6393228313979549,0.006615481672679041,0.10449120642059806,Olfr1375,protein_coding
