"","gene_name","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"119","Il12rb1","ENSMUSG00000000791",3.68467491987741,0.22518093080448,1.37488993877566,0.163781059453387,0.869903502689987,0.999967202106179
"120","Slc5a5","ENSMUSG00000000792",20.5628880688456,0.472836823793554,0.804232496654038,0.587935486020229,0.556575596501778,0.999967202106179
"121","Kcnn3","ENSMUSG00000000794",943.08003984979,0.184005017800292,0.231366617549311,0.795296312619841,0.426441157993662,0.999967202106179
"122","Usp32","ENSMUSG00000000804",1731.20586958473,0.0525443210233904,0.183708022114032,0.286020830330289,0.774862167423442,0.999967202106179
"123","Car4","ENSMUSG00000000805",2.5785378245542,0.87517294309479,1.680070157788,0.520914521954876,0.602426318610837,NA
"124","Txnrd3","ENSMUSG00000000811",167.901596918982,-0.695964658145887,0.316446956457642,-2.19930905936536,0.0278559539755416,0.470937388122695
"125","Fasl","ENSMUSG00000000817",2.44612405826655,3.03540731230412,2.21636806976524,1.36954116679078,0.170830175760568,NA
"126","Zfp512b","ENSMUSG00000000823",2041.72977359698,-0.1082199284329,0.194756574589709,-0.555667651584475,0.578438074357764,0.999967202106179
"127","Dnajc5","ENSMUSG00000000826",3444.42731915403,0.0735410539535514,0.254242066830945,0.289256041969057,0.772385448524138,0.999967202106179
"128","Tpd52l2","ENSMUSG00000000827",2629.44110457774,0.0277745797403834,0.215143986843605,0.129097634323257,0.897280393882003,0.999967202106179
"129","Fmr1","ENSMUSG00000000838",1400.85898879549,-0.0124497656902752,0.314014136906414,-0.0396471503255461,0.968374436444652,0.999967202106179
"130","Bcl11a","ENSMUSG00000000861",6275.7335236587,0.161133004866107,0.202135468474153,0.797153543029538,0.425361863179649,0.999967202106179
"131","Il4","ENSMUSG00000000869",215.437147121796,-0.073684982762595,0.384552058242973,-0.191612503907178,0.848045747304048,0.999967202106179
"132","Pxmp4","ENSMUSG00000000876",254.468098126044,0.0385490967154346,0.417435799830147,0.0923473663042796,0.926422056252363,0.999967202106179
"133","Dlg3","ENSMUSG00000000881",724.95964794773,0.00510190924264636,0.218040699679121,0.0233988849336595,0.981332094457672,0.999967202106179
"134","Gnb1l","ENSMUSG00000000884",119.425547160748,0.0200124977848056,0.40161991526279,0.0498294457626955,0.960258301497864,0.999967202106179
"135","Dbh","ENSMUSG00000000889",3.2655266294664,0.361720019113786,1.88132802036278,0.192268448244361,0.847531931938258,0.999967202106179
"136","Mmp11","ENSMUSG00000000901",25.2206750556062,0.649781025788042,0.579863544199404,1.12057574973983,0.262468492175759,0.999967202106179
