"","gene_name","gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"120","Slc5a5","ENSMUSG00000000792",20.5628880688456,0.00895042098289197,0.110644917294367,0.556575596501778,0.999967202106179
"121","Kcnn3","ENSMUSG00000000794",943.08003984979,0.0358225769954051,0.106606042121977,0.426441157993662,0.999967202106179
"122","Usp32","ENSMUSG00000000804",1731.20586958473,0.0138355868679765,0.0959079758548799,0.774862167423442,0.999967202106179
"123","Car4","ENSMUSG00000000805",2.5785378245542,0.00371131499457076,0.111014329271478,0.602426318610837,NA
"124","Txnrd3","ENSMUSG00000000811",167.901596918982,-0.103908939042308,0.177422563489066,0.0278559539755416,0.470937388122695
"125","Fasl","ENSMUSG00000000817",2.44612405826655,0.00695209933748325,0.111388041526447,0.170830175760568,NA
"126","Zfp512b","ENSMUSG00000000823",2041.72977359698,-0.0265524482697457,0.0996592099492618,0.578438074357764,0.999967202106179
"127","Dnajc5","ENSMUSG00000000826",3444.42731915403,0.012014083399693,0.102595787292984,0.772385448524138,0.999967202106179
"128","Tpd52l2","ENSMUSG00000000827",2629.44110457774,-0.000337721505533656,0.0987468003275248,0.897280393882003,0.999967202106179
"129","Fmr1","ENSMUSG00000000838",1400.85898879549,-0.00126512877805533,0.104785291762918,0.968374436444652,0.999967202106179
"130","Bcl11a","ENSMUSG00000000861",6275.7335236587,0.039428034425751,0.104499389650408,0.425361863179649,0.999967202106179
"131","Il4","ENSMUSG00000000869",215.437147121796,-0.00581792462733574,0.106979008579134,0.848045747304048,0.999967202106179
"132","Pxmp4","ENSMUSG00000000876",254.468098126044,0.00268206433393755,0.107455943780936,0.926422056252363,0.999967202106179
"133","Dlg3","ENSMUSG00000000881",724.95964794773,0.00112001351513188,0.0990312935891019,0.981332094457672,0.999967202106179
"134","Gnb1l","ENSMUSG00000000884",119.425547160748,0.00150752966946259,0.107139155351013,0.960258301497864,0.999967202106179
"135","Dbh","ENSMUSG00000000889",3.2655266294664,0.00129521197838214,0.110968379179161,0.847531931938258,0.999967202106179
"136","Mmp11","ENSMUSG00000000901",25.2206750556062,0.0235068243747489,0.112779564132765,0.262468492175759,0.999967202106179
"137","Smarcb1","ENSMUSG00000000902",1033.098879827,-0.00774553986243957,0.105012909841145,0.826654903387917,0.999967202106179
"138","Vpreb3","ENSMUSG00000000903",7.72698123085695,0.00516644550072323,0.110421511366264,0.71616360157373,0.999967202106179
"139","Hip1r","ENSMUSG00000000915",910.1124056496,-0.00147418072105224,0.103517808174223,0.966231988757025,0.999967202106179
"140","Nsun5","ENSMUSG00000000916",89.5392350070455,-0.0249996325795064,0.110448094980443,0.41300205522901,0.999967202106179
"141","Top1mt","ENSMUSG00000000934",63.1960598954393,-0.0589229659722444,0.129599845646215,0.0666290252292727,0.830771395147393
"142","Gm38393","ENSMUSG00000000948",198.799439145007,-0.00108613690123652,0.108243325755818,0.961672946883375,0.999967202106179
"143","Mmp14","ENSMUSG00000000957",98.1381863984368,-0.00497434403161068,0.11037902423693,0.724093183890835,0.999967202106179
"144","Slc7a7","ENSMUSG00000000958",11.3381880759971,0.0101574906943152,0.110819255563463,0.4998910352053,0.999967202106179
"145","Oxa1l","ENSMUSG00000000959",736.518442523062,-0.0103630381987923,0.107778263487102,0.714792355243126,0.999967202106179
"146","Heatr6","ENSMUSG00000000976",1485.57641786561,0.0190200491527911,0.105006371526301,0.62920890215317,0.999967202106179
"147","Ccl3","ENSMUSG00000000982",18.9924388744603,0.00820984680364753,0.110185671593808,0.64079474571432,0.999967202106179
"148","Wfdc18","ENSMUSG00000000983",92.6301234980841,0.00432207562704981,0.110448358455212,0.75332740066693,0.999967202106179
"149","Ilf2","ENSMUSG00000001016",1011.77588266611,0.0116984058863245,0.103094321164809,0.775548902608402,0.999967202106179
"150","Chtop","ENSMUSG00000001017",2306.61249260099,0.00892189283532934,0.104383168701301,0.871322414575915,0.999967202106179
"151","Snapin","ENSMUSG00000001018",876.769998390851,-0.000781933544921209,0.106800125707863,0.975941259364328,0.999967202106179
"152","S100a4","ENSMUSG00000001020",2.21434516314279,0.00605641490138968,0.111172963290335,0.401235889526804,NA
"153","S100a3","ENSMUSG00000001021",41.3432465106258,0.00838378798799619,0.109345693321737,0.704973859011192,0.999967202106179
"154","S100a5","ENSMUSG00000001023",23297.7434321605,0.0405830609320577,0.116110251153016,0.226456511843832,0.999967202106179
"155","S100a6","ENSMUSG00000001025",175.969862019424,0.0494292453638084,0.122596772092787,0.113415238947727,0.999967202106179
"156","Scn4a","ENSMUSG00000001027",5.07645202024859,0.0182758506833646,0.113235131734817,0.0142134231771629,0.283190668420819
"157","Icam2","ENSMUSG00000001029",10.452985759655,0.0175936416582647,0.112777760390698,0.0970036121969658,0.999967202106179
"158","Mapk7","ENSMUSG00000001034",477.106355928707,-0.0184163378854012,0.106835697838313,0.594618991944622,0.999967202106179
"159","Epn2","ENSMUSG00000001036",1309.82665593316,0.00382543581413701,0.0970229099708729,0.937498742204179,0.999967202106179
"160","B9d1","ENSMUSG00000001039",776.4630927121,-0.0127909617065691,0.107013204384284,0.68614192823832,0.999967202106179
