ENSMUSG00000067780	0	2	0
ENSMUSG00000100053	0	0	2
ENSMUSG00000085125	5	5	0
ENSMUSG00000025776	12	11	1
ENSMUSG00000099895	0	0	0
ENSMUSG00000100554	0	0	0
ENSMUSG00000099473	0	0	0
ENSMUSG00000099591	0	0	0
ENSMUSG00000109887	0	0	0
ENSMUSG00000102001	0	0	0
ENSMUSG00000101717	0	0	0
ENSMUSG00000025774	2	0	2
ENSMUSG00000070977	0	0	0
ENSMUSG00000073735	0	0	0
ENSMUSG00000067773	0	0	0
ENSMUSG00000101685	0	0	0
ENSMUSG00000101306	0	0	0
ENSMUSG00000088800	0	0	0
ENSMUSG00000101644	0	0	0
ENSMUSG00000099433	0	0	0
ENSMUSG00000089787	0	0	0
ENSMUSG00000042596	2	2	0
ENSMUSG00000100720	0	0	0
ENSMUSG00000025927	4	3	1
ENSMUSG00000100538	0	0	0
ENSMUSG00000101117	0	0	0
ENSMUSG00000100204	0	0	0
ENSMUSG00000084668	0	0	0
ENSMUSG00000102597	0	0	0
ENSMUSG00000043760	1	0	1
ENSMUSG00000104095	0	0	0
ENSMUSG00000089914	0	0	0
ENSMUSG00000090142	0	0	0
ENSMUSG00000070175	0	0	0
ENSMUSG00000099906	0	0	0
ENSMUSG00000065559	0	0	0
ENSMUSG00000065480	0	0	0
ENSMUSG00000025929	0	0	0
ENSMUSG00000041872	1	0	1
ENSMUSG00000041859	95	95	0
ENSMUSG00000099714	0	0	0
ENSMUSG00000102121	0	0	0
ENSMUSG00000088858	0	0	0
ENSMUSG00000097934	5	5	0
ENSMUSG00000025931	544	533	11
ENSMUSG00000077314	0	0	0
ENSMUSG00000100929	3	2	1
ENSMUSG00000041809	358	354	4
ENSMUSG00000041779	98	30	68
ENSMUSG00000099971	1	1	0
ENSMUSG00000100819	3	3	0
ENSMUSG00000025933	78	77	1
ENSMUSG00000102633	2	2	0
ENSMUSG00000025934	18	16	2
ENSMUSG00000099343	0	0	0
ENSMUSG00000096375	0	0	0
ENSMUSG00000025936	0	0	0
ENSMUSG00000093963	0	0	0
ENSMUSG00000067750	5	0	5
ENSMUSG00000086194	1	0	1
ENSMUSG00000094436	2	0	2
ENSMUSG00000041722	10	0	10
ENSMUSG00000085507	4	0	4
ENSMUSG00000094926	0	0	0
ENSMUSG00000085079	11	0	11
ENSMUSG00000085679	1	0	1
ENSMUSG00000028033	810	856	1
ENSMUSG00000104138	27	27	0
ENSMUSG00000082935	15	15	0
ENSMUSG00000103748	120	119	1
ENSMUSG00000097109	74	2	119
ENSMUSG00000099692	0	0	0
ENSMUSG00000100418	0	0	0
ENSMUSG00000041670	2970	2966	4
ENSMUSG00000097642	104	1	103
ENSMUSG00000101468	1	0	1
ENSMUSG00000101227	0	0	0
ENSMUSG00000073730	0	0	0
ENSMUSG00000089553	0	0	0
ENSMUSG00000102766	53	1	52
ENSMUSG00000065405	0	0	0
ENSMUSG00000097970	23	23	0
ENSMUSG00000065567	0	0	0
ENSMUSG00000100775	20	18	2
ENSMUSG00000101226	0	0	0
ENSMUSG00000026158	350	347	3
ENSMUSG00000097920	1	1	0
ENSMUSG00000099503	0	0	0
ENSMUSG00000026156	59	7	1465
ENSMUSG00000026155	1037	2440	10
ENSMUSG00000026154	33	97	2
ENSMUSG00000102495	5	0	71
ENSMUSG00000026153	8094	8077	17
ENSMUSG00000102398	7	6	1
ENSMUSG00000097670	0	0	0
ENSMUSG00000026147	9	8	1
ENSMUSG00000026141	1	0	1
ENSMUSG00000077463	0	0	0
ENSMUSG00000099997	0	0	0
ENSMUSG00000100131	23	22	1
ENSMUSG00000067736	61	33	28
ENSMUSG00000101939	411	181	230
ENSMUSG00000101111	23	20	3
ENSMUSG00000100862	83	80	3
ENSMUSG00000102070	33	32	1
ENSMUSG00000101249	33	33	0
ENSMUSG00000073725	1661	1635	26
ENSMUSG00000100808	0	0	0
ENSMUSG00000100483	1	1	0
ENSMUSG00000100450	0	0	0
ENSMUSG00000099392	2	2	0
ENSMUSG00000033569	814	790	24
ENSMUSG00000080849	1	0	1
ENSMUSG00000104257	0	0	0
ENSMUSG00000096866	0	0	0
ENSMUSG00000102296	1	0	1
ENSMUSG00000103209	0	0	0
ENSMUSG00000104027	0	0	0
ENSMUSG00000102407	0	0	0
ENSMUSG00000103214	0	0	0
ENSMUSG00000104100	0	0	0
ENSMUSG00000084740	0	0	0
