Sample	FastQC (raw reads)_mqc-generalstats-fastqc_raw_reads-percent_duplicates	FastQC (raw reads)_mqc-generalstats-fastqc_raw_reads-percent_gc	FastQC (raw reads)_mqc-generalstats-fastqc_raw_reads-avg_sequence_length	FastQC (raw reads)_mqc-generalstats-fastqc_raw_reads-median_sequence_length	FastQC (raw reads)_mqc-generalstats-fastqc_raw_reads-percent_fails	FastQC (raw reads)_mqc-generalstats-fastqc_raw_reads-total_sequences	FastQC (trimmed reads)_mqc-generalstats-fastqc_trimmed_reads-percent_duplicates	FastQC (trimmed reads)_mqc-generalstats-fastqc_trimmed_reads-percent_gc	FastQC (trimmed reads)_mqc-generalstats-fastqc_trimmed_reads-avg_sequence_length	FastQC (trimmed reads)_mqc-generalstats-fastqc_trimmed_reads-median_sequence_length	FastQC (trimmed reads)_mqc-generalstats-fastqc_trimmed_reads-percent_fails	FastQC (trimmed reads)_mqc-generalstats-fastqc_trimmed_reads-total_sequences	FastQC (aligned reads)_mqc-generalstats-fastqc_aligned_reads-percent_duplicates	FastQC (aligned reads)_mqc-generalstats-fastqc_aligned_reads-percent_gc	FastQC (aligned reads)_mqc-generalstats-fastqc_aligned_reads-avg_sequence_length	FastQC (aligned reads)_mqc-generalstats-fastqc_aligned_reads-median_sequence_length	FastQC (aligned reads)_mqc-generalstats-fastqc_aligned_reads-percent_fails	FastQC (aligned reads)_mqc-generalstats-fastqc_aligned_reads-total_sequences	FastQC (deduplicated reads)_mqc-generalstats-fastqc_deduplicated_reads-percent_duplicates	FastQC (deduplicated reads)_mqc-generalstats-fastqc_deduplicated_reads-percent_gc	FastQC (deduplicated reads)_mqc-generalstats-fastqc_deduplicated_reads-avg_sequence_length	FastQC (deduplicated reads)_mqc-generalstats-fastqc_deduplicated_reads-median_sequence_length	FastQC (deduplicated reads)_mqc-generalstats-fastqc_deduplicated_reads-percent_fails	FastQC (deduplicated reads)_mqc-generalstats-fastqc_deduplicated_reads-total_sequences	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | alignments | star_markdup | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep2																												0.418572
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | alignments | star_markdup | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep3																												0.247027
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-markdup | zone1_vs_zone5 | RNA_Zone1_mOSN_Rep1																			23.045893093492055	50.0	49.999034412682036	50	0.0	55954546.0				
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-markdup | zone1_vs_zone5 | RNA_Zone1_mOSN_Rep2																			20.849565082991575	48.0	49.99842209177266	50	0.0	73760310.0				
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-markdup | zone1_vs_zone5 | RNA_Zone1_mOSN_Rep3																			13.267542458344693	46.0	74.51191862899537	75	10.0	104329743.0				
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-markdup | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep1																			25.632462681641783	51.0	49.999031000495734	50	0.0	70776094.0				
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-markdup | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep2																			24.930661691787265	48.0	49.99843864676327	50	0.0	67371686.0				
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-markdup | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep3																			14.738546964076235	46.0	74.51023744479484	75	10.0	107864904.0				
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone5 | RNA_Zone1_mOSN_Rep1_1	52.7257110334933	51.0	50.0	50	10.0	26658688.0																						
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone5 | RNA_Zone1_mOSN_Rep1_2	57.24219433081761	50.0	50.0	50	10.0	26658688.0																						
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone5 | RNA_Zone1_mOSN_Rep2_1	45.83397408688542	48.0	50.0	50	0.0	35948921.0																						
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone5 | RNA_Zone1_mOSN_Rep2_2	50.69151385177493	48.0	50.0	50	20.0	35948921.0																						
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone5 | RNA_Zone1_mOSN_Rep3_1	34.42502538017638	46.0	74.51938176116549	75	10.0	49512451.0																						
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone5 | RNA_Zone1_mOSN_Rep3_2	38.264043433939385	46.0	74.49851256606141	75	10.0	49512451.0																						
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep1_1	55.46381019769642	51.0	50.0	50	10.0	33476134.0																						
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep1_2	59.56038756965799	50.0	50.0	50	10.0	33476134.0																						
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep2_1	49.406366628530996	48.0	50.0	50	0.0	33002153.0																						
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep2_2	53.21778354331971	47.0	50.0	50	20.0	33002153.0																						
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep3_1	35.46507657333159	46.0	74.51879383606338	75	10.0	51728955.0																						
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-raw | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep3_2	39.561708325148594	46.0	74.49604734911038	75	10.0	51728955.0																						
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone5 | RNA_Zone1_mOSN_Rep1_1							53.64630260934335	51.0	49.99954174196627	50	10.0	24959737.0																
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone5 | RNA_Zone1_mOSN_Rep1_2							59.5927203062369	50.0	49.99852362226413	50	10.0	24959737.0																
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone5 | RNA_Zone1_mOSN_Rep2_1							46.22681934529081	48.0	49.99682975968163	50	0.0	33654231.0																
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone5 | RNA_Zone1_mOSN_Rep2_2							52.09496215584774	48.0	50.0	50	20.0	33654231.0																
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone5 | RNA_Zone1_mOSN_Rep3_1							34.48725872439039	46.0	74.51796034589634	75	10.0	48367554.0																
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone5 | RNA_Zone1_mOSN_Rep3_2							38.995153846333544	46.0	74.50450818745145	75	10.0	48367554.0																
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep1_1							56.36259034192225	51.0	49.9995451076759	50	10.0	31389846.0																
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep1_2							61.54861645870977	50.0	49.99854965838316	50	10.0	31389846.0																
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep2_1							49.993519208150985	48.0	49.996886250747	50	0.0	30752958.0																
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep2_2							54.93693358210684	47.0	50.0	50	20.0	30752958.0																
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep3_1							35.508646157016315	46.0	74.51748013152972	75	10.0	50675391.0																
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep3_2							40.199396706118804	46.0	74.50288900582927	75	10.0	50675391.0																
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | star | zone1_vs_zone5 | RNA_Zone1_mOSN_Rep1													23.045893093492055	50.0	49.999034412682036	50	0.0	55954546.0										
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | star | zone1_vs_zone5 | RNA_Zone1_mOSN_Rep2													20.849565082991575	48.0	49.99842209177266	50	0.0	73760310.0										
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | star | zone1_vs_zone5 | RNA_Zone1_mOSN_Rep3													13.267542458344693	46.0	74.51191862899537	75	10.0	104329743.0										
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | star | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep1													25.632462681641783	51.0	49.999031000495734	50	0.0	70776094.0										
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | star | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep2													24.930661691787265	48.0	49.99843864676327	50	0.0	67371686.0										
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | star | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep3													14.738546964076235	46.0	74.51023744479484	75	10.0	107864904.0										
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | trim | zone1_vs_zone5 | RNA_Zone1_mOSN_Rep1																									4.29			
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | trim | zone1_vs_zone5 | RNA_Zone1_mOSN_Rep2																									3.74			
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | trim | zone1_vs_zone5 | RNA_Zone1_mOSN_Rep3																									0.07			
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | trim | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep1																									4.21			
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | trim | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep2																									3.89			
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | trim | zone1_vs_zone5 | RNA_Zone5_mOSN_Rep3																									0.06			
