Sample	FastQC (raw reads)_mqc-generalstats-fastqc_raw_reads-percent_duplicates	FastQC (raw reads)_mqc-generalstats-fastqc_raw_reads-percent_gc	FastQC (raw reads)_mqc-generalstats-fastqc_raw_reads-avg_sequence_length	FastQC (raw reads)_mqc-generalstats-fastqc_raw_reads-median_sequence_length	FastQC (raw reads)_mqc-generalstats-fastqc_raw_reads-percent_fails	FastQC (raw reads)_mqc-generalstats-fastqc_raw_reads-total_sequences	FastQC (trimmed reads)_mqc-generalstats-fastqc_trimmed_reads-percent_duplicates	FastQC (trimmed reads)_mqc-generalstats-fastqc_trimmed_reads-percent_gc	FastQC (trimmed reads)_mqc-generalstats-fastqc_trimmed_reads-avg_sequence_length	FastQC (trimmed reads)_mqc-generalstats-fastqc_trimmed_reads-median_sequence_length	FastQC (trimmed reads)_mqc-generalstats-fastqc_trimmed_reads-percent_fails	FastQC (trimmed reads)_mqc-generalstats-fastqc_trimmed_reads-total_sequences	FastQC (aligned reads)_mqc-generalstats-fastqc_aligned_reads-percent_duplicates	FastQC (aligned reads)_mqc-generalstats-fastqc_aligned_reads-percent_gc	FastQC (aligned reads)_mqc-generalstats-fastqc_aligned_reads-avg_sequence_length	FastQC (aligned reads)_mqc-generalstats-fastqc_aligned_reads-median_sequence_length	FastQC (aligned reads)_mqc-generalstats-fastqc_aligned_reads-percent_fails	FastQC (aligned reads)_mqc-generalstats-fastqc_aligned_reads-total_sequences	FastQC (deduplicated reads)_mqc-generalstats-fastqc_deduplicated_reads-percent_duplicates	FastQC (deduplicated reads)_mqc-generalstats-fastqc_deduplicated_reads-percent_gc	FastQC (deduplicated reads)_mqc-generalstats-fastqc_deduplicated_reads-avg_sequence_length	FastQC (deduplicated reads)_mqc-generalstats-fastqc_deduplicated_reads-median_sequence_length	FastQC (deduplicated reads)_mqc-generalstats-fastqc_deduplicated_reads-percent_fails	FastQC (deduplicated reads)_mqc-generalstats-fastqc_deduplicated_reads-total_sequences	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct	STAR_mqc-generalstats-star-uniquely_mapped_percent	STAR_mqc-generalstats-star-uniquely_mapped	Picard_mqc-generalstats-picard-PERCENT_DUPLICATION
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep3_2							38.995153846333544	46.0	74.50450818745145	75	10.0	48367554.0																
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone2 | RNA_Zone2_mOSN_Rep1_1							35.60211332184498	46.0	74.5173227289965	75	10.0	51947300.0																
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone2 | RNA_Zone2_mOSN_Rep1_2							41.02724416982903	46.0	74.50887022039645	75	10.0	51947300.0																
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone2 | RNA_Zone2_mOSN_Rep2_1							58.8707746003087	46.0	74.53108626272436	75	20.0	68192131.0																
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | fastqc-trimmed | zone1_vs_zone2 | RNA_Zone2_mOSN_Rep2_2							59.305552551387585	46.0	74.50955781100315	75	20.0	68192131.0																
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | star | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep1													23.045893093492055	50.0	49.999034412682036	50	0.0	55954546.0										
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | star | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep2													20.849565082991575	48.0	49.99842209177266	50	0.0	73760310.0										
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | star | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep3													13.267542458344693	46.0	74.51191862899537	75	10.0	104329743.0										
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | star | zone1_vs_zone2 | RNA_Zone2_mOSN_Rep1													15.411272731923816	47.0	74.51316852526264	75	10.0	110505996.0										
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | qc | star | zone1_vs_zone2 | RNA_Zone2_mOSN_Rep2													32.00982724677796	46.0	74.52938415508159	75	20.0	153343800.0										
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | trim | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep1																									4.29			
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | trim | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep2																									3.74			
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | trim | zone1_vs_zone2 | RNA_Zone1_mOSN_Rep3																									0.07			
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | trim | zone1_vs_zone2 | RNA_Zone2_mOSN_Rep1																									0.07			
g | boulard | Lisa | Projects | multimodal-ngs-ubds-2026 | pipelines | rna-seq-zone-specific-3t-seq | 3t-seq | results | trim | zone1_vs_zone2 | RNA_Zone2_mOSN_Rep2																									0.08			
